         1--2013.0814.2214.55       113    ---    **********        LOG CREATION     [2456519.42702546250000000000]: clock =        102        **********
         2--2013.0814.2214.55       113    ---    [0.0012590972]       [              Ceres]  quintile         [Photographia       ]
         3--2013.0814.2214.55       113    ---    [0.0053892469]       [          Felicitas]  sesqisquare      [Photographia       ]
         4--2013.0814.2214.55       113    ---    [0.0104544745]       [             Urania]  semisquare       [Cupido             ]
         5--2013.0814.2214.55       113    ---    [0.0111429434]       [            Jupiter]  triseptile       [Sweet              ]
         6--2013.0814.2214.55       113    ---    [0.0112725370]       [             Thalia]  quincunx         [Adonis             ]
         7--2013.0814.2214.55       113    ---    [0.0114761576]       [              Fides]  quintile         [Sappho             ]
         8--2013.0814.2214.55       113    ---    [0.0137337126]       [               Juno]  biquintile       [Pax                ]
         9--2013.0814.2214.55       113    ---    [0.0368812171]       [            Mercury]  sextile          [Photographia       ]
        10--2013.0814.2214.55       113    ---    [0.0398033924]       [         Desiderata]  septile          [Anteros            ]
        11--2013.0814.2214.55       113    ---    [0.0448886131]       [             Hestia]  novile           [Sappho             ]
        12--2013.0814.2214.55       113    ---    [0.0552368102]       [               Moon]  biseptile        [Compassion         ]
        13--2013.0814.2214.55       113    ---    [0.0574030423]       [                Pax]  binovile         [Anteros            ]
        14--2013.0814.2214.55       113    ---    [0.0586048668]       [           Amicitia]  sextile          [Aphrodite          ]
        15--2013.0814.2214.55       113    ---    [0.0594434659]       [              Vesta]  semisextile      [Philosophia        ]
        16--2013.0814.2214.55       113    ---    [0.0650356338]       [             Psyche]  novile           [Fides              ]
        17--2013.0814.2214.55       113    ---    [0.0682555652]       [               Moon]  sesqisquare      [Amicitia           ]
        18--2013.0814.2214.55       113    ---    [0.0695808377]       [              Venus]  novile           [Vesta              ]
        19--2013.0814.2214.55       113    ---    [0.0715593344]       [               Mars]  square           [Felicia            ]
        20--2013.0814.2214.55       113    ---    [0.0746827539]       [                Pax]  square           [Sweet              ]
        21--2013.0814.2214.55       113    ---    [0.0749711679]       [              Pluto]  semisquare       [Hestia             ]
        22--2013.0814.2214.55       113    ---    [0.0757817402]       [             Chiron]  biseptile        [Anteros            ]
        23--2013.0814.2214.55       113    ---    [0.0783757914]       [             Adorea]  septile          [Siri               ]
        24--2013.0814.2214.55       113    ---    [0.0823169331]       [             Pholus]  sesqisquare      [Desiderata         ]
        25--2013.0814.2214.55       113    ---    [0.0861291954]       [            Mercury]  novile           [Ambrosia           ]
        26--2013.0814.2214.55       113    ---    [0.0882186248]       [                Sun]  quatronovile     [Chiron             ]
        27--2013.0814.2214.55       113    ---    [0.0903432324]       [          Concordia]  sextile          [Philosophia        ]
        28--2013.0814.2214.55       113    ---    [0.0960907185]       [             Unitas]  quintile         [Amor               ]
        29--2013.0814.2214.55       113    ---    [0.0973849307]       [              Pluto]  semisextile      [Juno               ]
        30--2013.0814.2214.55       113    ---    [0.0975682915]       [               Mars]  binovile         [Lust               ]
        31--2013.0814.2214.55       113    ---    [0.1041669743]       [               Amor]  sesqisquare      [Adonis             ]
        32--2013.0814.2214.55       113    ---    [0.1091718903]       [             Saturn]  biquintile       [Photographia       ]
        33--2013.0814.2214.55       113    ---    [0.1104309875]       [             Saturn]  quintile         [Ceres              ]
        34--2013.0814.2214.55       113    ---    [0.1155851326]       [             Chiron]  septile          [Desiderata         ]
        35--2013.0814.2214.55       113    ---    [0.1291563685]       [  North Node (true)]  semisquare       [Fides              ]
        36--2013.0814.2214.55       113    ---    [0.1364676854]       [              Vesta]  square           [Amor               ]
        37--2013.0814.2214.55       113    ---    [0.1393720825]       [             Hestia]  conjunct         [Bella              ]
